article_key,article_label,법제처_산업안전보건기준에 관한 규칙(고용노동부령)(제00454호):first_page,법제처_산업안전보건기준에 관한 규칙(고용노동부령)(제00454호):pages,법제처_산업안전보건기준에 관한 규칙(고용노동부령)(제00454호):titles,안전보건공단_만화로보는 산업안전보건기준에 관한 규칙:first_page,안전보건공단_만화로보는 산업안전보건기준에 관한 규칙:pages,안전보건공단_만화로보는 산업안전보건기준에 관한 규칙:titles
1,제1조,1,"1,123",목적 | 시행일,10,"10,313,314,315,316,317,318",목적 | 시행일
2,제2조,1,"1,123",정의 | 산소 및 유해가스 농도의 측정결과 등의 기록 및 보존에 관한 적용례,10,"10,313,314,315,316,317,318",정의 | 다른법령의 폐지 | 타워크레인의 지지에 관한 적용례 | 안전밸브 검사주기에 관한 적용례 | 사업주의 보호조치에 관한 경과조치 | 유해요인 조사방법 및 유해성 등의 주지에 관한 적용례 | 리프트에 관한 경과조치 | 석면해체·제거작업 시의 조치에 관한 적용례 | 출입 금지에 관한 적용례 | 작업지휘자의 지정에 관한 적용례 | 다른 법령의 개정
3,제3조,1,1,전도의 방지,12,"12,313,314,316,317",전도의 방지 | 안전밸브의 검사주기에 관한 적용례 | 다른 법령의 개정 | 승강기에 관한 경과조치 | 항타기·항발기의 조립·해체 시 점검사항에 관한 적용례 | 안전성 평가에 관한 적용례
4,제4조,1,1,작업장의 청결,12,"12,313,316,317",작업장의 청결 | 피뢰침 설치에 관한 경과조치 | 사업주의 보호조치에 관한 경과규정 | 굴착기 후사경 등의 부착에 관한 적용례
4-2,제4조의2,1,1,분진의 흩날림 방지,,,
5,제5조,1,1,오염된 바닥의 세척 등,12,"12,313,317",오염된 바닥의 세척 등 | 다른 법령의 개정 | 화재대피용 마스크에 관한 적용례
6,제6조,1,1,오물의 처리 등,13,"13,314,317",오물의 처리 등 | 다른 법령과의 관계 | 이동식 크레인 탑승의 제한에 관한 경과조치
7,제7조,2,2,채광 및 조명,13,"13,317",채광 및 조명 | 화염방지기능이 있는 통기밸브 설치에 관한 경과조치
8,제8조,2,2,조도,13,"13,317",조도 | 산소 또는 이산화탄소 감지 및 경보장치 설치에 관한 경과조치
9,제9조,2,2,작업발판 등,14,14,작업발판 등
10,제10조,2,2,작업장의 창문,14,14,작업장의 창문
11,제11조,2,2,작업장의 출입구,14,14,작업장의 출입구
12,제12조,2,2,동력으로 작동되는 문의 설치 조건,15,15,동력으로 작동되는 문의 설치 조건
13,제13조,2,2,안전난간의 구조 및 설치요건,15,15,안전난간의 구조 및 설치요건
14,제14조,3,3,낙하물에 의한 위험의 방지,16,16,낙하물에 의한 위험의 방지
15,제15조,3,3,투하설비 등,16,16,투하설비 등
16,제16조,3,3,위험물 등의 보관,16,16,위험물 등의 보관
17,제17조,3,3,비상구의 설치,17,17,비상구의 설치
18,제18조,3,3,비상구 등의 유지,17,17,비상구 등의 유지
19,제19조,4,4,경보용 설비 등,17,17,경보용 설비 등
20,제20조,4,4,출입의 금지 등,18,18,출입의 금지 등
21,제21조,5,5,통로의 조명,20,20,통로의 조명
22,제22조,5,5,통로의 설치,20,20,통로의 설치
23,제23조,5,5,가설통로의 구조,20,20,가설통로의 구조
24,제24조,5,5,사다리식 통로 등의 구조,21,21,사다리식 통로 등의 구조
25,제25조,6,6,갱내통로 등의 위험 방지,22,22,갱내통로 등의 위험 방지
26,제26조,6,6,계단의 강도,22,22,계단의 강도
27,제27조,6,6,계단의 폭,22,22,계단의 폭
28,제28조,6,6,계단참의 설치,23,23,계단참의 설치
29,제29조,6,6,천장의 높이,23,23,천장의 높이
30,제30조,6,6,계단의 난간,23,23,계단의 난간
31,제31조,6,6,보호구의 제한적 사용,25,25,보호구의 제한적 사용
32,제32조,6,6,보호구의 지급 등,25,25,보호구의 지급 등
33,제33조,7,7,보호구의 관리,26,26,보호구의 관리
34,제34조,7,7,전용 보호구 등,26,26,전용 보호구 등
35,제35조,7,7,관리감독자의 유해ㆍ위험 방지 업무 등,28,28,관리감독자의 유해·위험 방지 업무 등
36,제36조,7,7,사용의 제한,28,28,사용의 제한
37,제37조,7,7,악천후 및 강풍 시 작업 중지,28,28,악천후 및 강풍 시 작업 중지
38,제38조,7,7,사전조사 및 작업계획서의 작성 등,28,28,사전조사 및 작업계획서의 작성 등
39,제39조,8,8,작업지휘자의 지정,29,29,작업지휘자의 지정
40,제40조,8,8,신호,29,29,신호
41,제41조,8,8,운전위치의 이탈금지,30,30,운전위치의 이탈금지
42,제42조,9,9,추락의 방지,32,32,추락의 방지
43,제43조,9,9,개구부 등의 방호 조치,33,33,개구부 등의 방호 조치
44,제44조,10,10,안전대의 부착설비 등,33,33,안전대의 부착설비 등
45,제45조,10,10,지붕 위에서의 위험 방지,33,33,지붕 위에서의 위험 방지
46,제46조,10,10,승강설비의 설치,34,34,승강설비의 설치
47,제47조,10,10,구명구 등,34,34,구명구 등
48,제48조,10,10,울타리의 설치,34,34,울타리의 설치
49,제49조,10,10,조명의 유지,34,34,조명의 유지
50,제50조,10,10,토사등에 의한 위험 방지,35,35,토사등에 의한 위험 방지
51,제51조,10,10,구축물등의 안전 유지,35,35,구축물등의 안전 유지
52,제52조,11,11,구축물등의 안전성 평가,35,35,구축물등의 안전성 평가
53,제53조,11,11,계측장치의 설치 등,36,36,계측장치의 설치 등
54,제54조,11,11,비계의 재료,38,38,비계의 재료
55,제55조,11,11,작업발판의 최대적재하중,38,38,작업발판의 최대적재하중
56,제56조,11,11,작업발판의 구조,38,38,작업발판의 구조
57,제57조,12,12,비계 등의 조립ㆍ해체 및 변경,39,39,비계 등의 조립·해체 및 변경
58,제58조,12,12,비계의 점검 및 보수,41,41,비계의 점검 및 보수
59,제59조,12,12,강관비계 조립 시의 준수사항,41,41,강관비계 조립 시의 준수사항
60,제60조,13,13,강관비계의 구조,42,42,강관비계의 구조
61,제61조,13,13,강관의 강도 식별,42,42,강관의 강도 식별
62,제62조,13,13,강관틀비계,43,43,강관틀비계
63,제63조,13,13,달비계의 구조,43,43,달비계의 구조
64,제64조,15,15,달비계의 점검 및 보수,45,45,달비계의 점검 및 보수
65,제65조,15,15,달대비계,45,45,달대비계
66,제66조,15,15,높은 디딤판 등의 사용금지,45,45,높은 디딤판 등의 사용금지
66-2,제66조의2,15,15,걸침비계의 구조,45,45,걸침비계의 구조
67,제67조,15,15,말비계,46,46,말비계
68,제68조,15,15,이동식비계,46,46,이동식비계
69,제69조,15,15,시스템 비계의 구조,47,47,시스템 비계의 구조
70,제70조,16,16,시스템비계의 조립 작업 시 준수사항,47,47,시스템 비계의 조립 작업 시 준수사항
72,제72조,16,16,후드,49,49,후드
73,제73조,16,16,덕트,50,50,덕트
74,제74조,16,16,배풍기,50,50,배풍기
75,제75조,17,17,배기구,51,51,배기구
76,제76조,17,17,배기의 처리,51,51,배기의 처리
77,제77조,17,17,전체환기장치,51,51,전체환기장치
78,제78조,17,17,환기장치의 가동,51,51,환기장치의 가동
79,제79조,17,17,휴게시설,53,53,휴게시설
79-2,제79조의2,17,17,세척시설 등,53,53,세척시설 등
80,제80조,17,17,의자의 비치,53,53,의자의 비치
81,제81조,17,17,수면장소 등의 설치,53,53,수면장소 등의 설치
82,제82조,18,18,구급용구,53,53,구급용구
83,제83조,18,18,가스 등의 발산 억제 조치,55,55,가스 등의 발산 억제 조치
84,제84조,18,18,공기의 부피와 환기,55,55,공기의 부피와 환기
85,제85조,18,18,잔재물등의 처리,55,55,잔재물등의 처리
86,제86조,18,18,탑승의 제한,59,59,탑승의 제한
87,제87조,19,19,원동기ㆍ회전축 등의 위험 방지,61,61,원동기·회전축 등의 위험 방지
88,제88조,20,20,기계의 동력차단장치,63,63,기계의 동력차단장치
89,제89조,20,20,운전 시작 전 조치,63,63,운전 시작 전 조치
90,제90조,20,20,날아오는 가공물 등에 의한 위험의 방지,64,64,날아오는 가공물 등에 의한 위험의 방지
91,제91조,20,20,고장난 기계의 정비 등,64,64,고장난 기계의 정비 등
92,제92조,20,20,정비 등의 작업 시의 운전정지 등,64,64,정비 등의 작업 시의 운전정지 등
93,제93조,21,21,방호장치의 해체 금지,65,65,방호장치의 해체 금지
94,제94조,21,21,작업모 등의 착용,65,65,작업모 등의 착용
95,제95조,21,21,장갑의 사용 금지,65,65,장갑의 사용 금지
96,제96조,21,21,작업도구 등의 목적 외 사용 금지 등,65,65,작업도구 등의 목적 외 사용 금지 등
97,제97조,21,21,볼트ㆍ너트의 풀림 방지,67,67,볼트·너트의 풀림 방지
98,제98조,21,21,제한속도의 지정 등,67,67,제한속도의 지정 등
99,제99조,22,22,운전위치 이탈 시의 조치,67,67,운전위치 이탈 시의 조치
100,제100조,22,22,띠톱기계의 덮개 등,68,68,띠톱기계의 덮개 등
101,제101조,22,22,원형톱기계의 톱날접촉예방장치,68,68,원형톱기계의 톱날접촉예방장치
102,제102조,22,22,탑승의 금지,68,68,탑승의 금지
103,제103조,22,22,프레스 등의 위험 방지,69,69,프레스 등의 위험 방지
104,제104조,22,22,금형조정작업의 위험 방지,69,69,금형조정작업의 위험 방지
105,제105조,23,23,둥근톱기계의 반발예방장치,70,70,둥근톱기계의 반발예방장치
106,제106조,23,23,둥근톱기계의 톱날접촉예방장치,70,70,둥근톱기계의 톱날접촉예방장치
107,제107조,23,23,띠톱기계의 덮개,70,70,띠톱기계의 덮개
108,제108조,23,23,띠톱기계의 날접촉예방장치 등,70,70,띠톱기계의 날접촉예방장치 등
109,제109조,23,23,대패기계의 날접촉예방장치,70,70,대패기계의 날접촉예방장치
110,제110조,23,23,모떼기기계의 날접촉예방장치,71,71,모떼기기계의 날접촉예방장치
111,제111조,23,23,운전의 정지,71,71,운전의 정지
112,제112조,23,23,최고사용회전수의 초과 사용 금지,71,71,최고사용회전수의 초과 사용 금지
113,제113조,23,23,폭발성 물질 등의 취급 시 조치,71,71,폭발성 물질 등의 취급 시 조치
114,제114조,23,23,회전시험 중의 위험 방지,72,72,회전시험 중의 위험방지
115,제115조,23,23,비파괴검사의 실시,72,72,비파괴검사의 실시
116,제116조,24,24,압력방출장치,72,72,압력방출장치
117,제117조,24,24,압력제한스위치,73,73,압력제한스위치
118,제118조,24,24,고저수위 조절장치,73,73,고저수위 조절장치
119,제119조,24,24,폭발위험의 방지,73,73,폭발위험의 방지
120,제120조,24,24,최고사용압력의 표시 등,73,73,최고사용압력의 표시 등
121,제121조,24,24,사출성형기 등의 방호장치,73,73,사출성형기 등의 방호장치
122,제122조,24,24,연삭숫돌의 덮개 등,74,74,연삭숫돌의 덮개 등
123,제123조,24,24,롤러기의 울 등 설치,74,74,롤러기의 울 등 설치
124,제124조,25,25,직기의 북이탈방지장치,75,75,직기의 북이탈방지장치
125,제125조,25,25,신선기의 인발블록의 덮개 등,75,75,신선기의 인발블록의 덮개 등
126,제126조,25,25,버프연마기의 덮개,75,75,버프연마기의 덮개
127,제127조,25,25,선풍기 등에 의한 위험의 방지,75,75,선풍기 등에 의한 위험의 방지
128,제128조,25,25,포장기계의 덮개 등,75,75,포장기계의 덮개 등
129,제129조,25,25,정련기에 의한 위험 방지,76,76,정련기에 의한 위험 방지
130,제130조,25,25,식품가공용 기계에 의한 위험 방지,76,76,식품가공용 기계에 의한 위험 방지
131,제131조,25,25,농업용기계에 의한 위험 방지,77,77,농업용기계에 의한 위험 방지
132,제132조,25,25,양중기,77,77,양중기
133,제133조,26,26,정격하중 등의 표시,78,78,정격하중 등의 표시
134,제134조,26,26,방호장치의 조정,78,78,방호장치의 조정
135,제135조,27,27,과부하의 제한 등,79,79,과부하의 제한 등
136,제136조,27,27,안전밸브의 조정,79,79,안전밸브의 조정
137,제137조,27,27,해지장치의 사용,80,80,해지장치의 사용
138,제138조,27,27,경사각의 제한,80,80,경사각의 제한
139,제139조,27,27,크레인의 수리 등의 작업,80,80,크레인의 수리 등의 작업
140,제140조,27,27,폭풍에 의한 이탈 방지,80,80,폭풍에 의한 이탈 방지
141,제141조,27,27,조립 등의 작업 시 조치사항,81,81,조립 등의 작업 시 조치사항
142,제142조,28,28,타워크레인의 지지,82,82,타워크레인의 지지
143,제143조,28,28,폭풍 등으로 인한 이상 유무 점검,82,82,폭풍 등으로 인한 이상 유무 점검
144,제144조,28,28,건설물 등과의 사이 통로,83,83,건설물 등과의 사이 통로
145,제145조,28,28,건설물 등의 벽체와 통로의 간격 등,83,83,건설물 등의 벽체와 통로의 간격 등
146,제146조,28,28,크레인 작업 시의 조치,83,83,크레인 작업 시의 조치
147,제147조,29,29,설계기준 준수,84,84,설계기준 준수
148,제148조,29,29,안전밸브의 조정,84,84,안전밸브의 조정
149,제149조,29,29,해지장치의 사용,84,84,해지장치의 사용
150,제150조,29,29,경사각의 제한,84,84,경사각의 제한
151,제151조,29,29,권과 방지 등,85,85,권과 방지 등
152,제152조,29,29,무인작동의 제한,85,85,무인작동의 제한
153,제153조,29,29,피트 청소 시의 조치,85,85,피트 청소 시의 조치
154,제154조,30,30,붕괴 등의 방지,86,86,붕괴 등의 방지
155,제155조,30,30,운반구의 정지위치,86,86,운반구의 정지위치
156,제156조,30,30,조립 등의 작업,86,86,조립 등의 작업
157,제157조,30,30,이삿짐운반용 리프트 운전방법의 주지,87,87,이삿짐운반용 리프트 운전방법의 주지
158,제158조,30,30,이삿짐 운반용 리프트 전도의 방지,87,87,이삿짐 운반용 리프트 전도의 방지
159,제159조,30,30,화물의 낙하 방지,87,87,화물의 낙하 방지
160,제160조,30,30,운전방법 등의 주지,88,88,운전방법 등의 주지
161,제161조,30,30,폭풍에 의한 무너짐 방지,88,88,폭풍에 의한 무너짐 방지
162,제162조,31,31,조립 등의 작업,88,88,조립 등의 작업
163,제163조,31,31,와이어로프 등 달기구의 안전계수,89,89,와이어로프 등 달기구의 안전계수
164,제164조,31,31,고리걸이 훅 등의 안전계수,90,90,고리걸이 훅 등의 안전계수
165,제165조,31,31,와이어로프의 절단방법 등,90,90,와이어로프의 절단방법 등
166,제166조,31,31,이음매가 있는 와이어로프 등의 사용 금지,90,90,이음매가 있는 와이어로프 등의 사용금지
167,제167조,31,31,늘어난 달기체인 등의 사용 금지,90,90,늘어난 달기체인 등의 사용금지
168,제168조,31,31,변형되어 있는 훅ㆍ샤클 등의 사용금지 등,91,91,변형되어 있는 훅·샤클 등의 사용금지 등
169,제169조,31,31,꼬임이 끊어진 섬유로프 등의 사용금지,91,91,꼬임이 끊어진 섬유로프 등의 사용금지
170,제170조,32,32,링 등의 구비,91,91,링 등의 구비
171,제171조,32,32,전도 등의 방지,92,92,전도 등의 방지
172,제172조,32,32,접촉의 방지,92,92,접촉의 방지
173,제173조,32,32,화물적재 시의 조치,93,93,화물적재 시의 조치
174,제174조,32,32,차량계 하역운반기계등의 이송,93,93,차량계 하역운반기계등의 이송
175,제175조,32,32,주용도 외의 사용 제한,94,94,주용도 외의 사용 제한
176,제176조,32,32,수리 등의 작업 시 조치,94,94,수리 등의 작업 시 조치
177,제177조,33,33,싣거나 내리는 작업,95,95,싣거나 내리는 작업
178,제178조,33,33,허용하중 초과 등의 제한,95,95,허용하중 초과 등의 제한
179,제179조,33,33,전조등 등의 설치,95,95,전조등 등의 설치
180,제180조,33,33,헤드가드,96,96,헤드가드
181,제181조,33,33,백레스트,96,96,백레스트
182,제182조,33,33,팔레트 등,96,96,팔레트 등
183,제183조,33,33,좌석 안전띠의 착용 등,97,97,좌석 안전띠의 착용 등
184,제184조,34,34,제동장치 등,97,97,제동장치 등
185,제185조,34,34,연결장치,98,98,연결장치
186,제186조,34,34,고소작업대 설치 등의 조치,98,98,고소작업대 설치 등의 조치
187,제187조,35,35,승강설비,99,99,승강설비
188,제188조,35,35,꼬임이 끊어진 섬유로프 등의 사용 금지,99,99,꼬임이 끊어진 섬유로프 등의 사용 금지
189,제189조,35,35,섬유로프 등의 점검 등,100,100,섬유로프 등의 점검 등
190,제190조,35,35,화물 중간에서 빼내기 금지,100,100,화물 중간에서 빼내기 금지
191,제191조,35,35,이탈 등의 방지,100,100,이탈 등의 방지
192,제192조,35,35,비상정지장치,101,101,비상정지장치
193,제193조,35,35,낙하물에 의한 위험 방지,101,101,낙하물에 의한 위험 방지
194,제194조,35,35,트롤리 컨베이어,101,101,트롤리 컨베이어
195,제195조,35,35,통행의 제한 등,101,101,통행의 제한 등
196,제196조,36,36,차량계 건설기계의 정의,102,102,차량계 건설기계의 정의
197,제197조,36,36,전조등의 설치,102,102,전조등의 설치
198,제198조,36,36,낙하물 보호구조,102,102,낙하물 보호구조
199,제199조,36,36,전도 등의 방지,102,102,전도 등의 방지
200,제200조,36,36,접촉 방지,102,102,접촉 방지
201,제201조,36,36,차량계 건설기계의 이송,103,103,차량계 건설기계의 이송
202,제202조,36,36,승차석 외의 탑승금지,103,103,승차석 외의 탑승금지
203,제203조,36,36,안전도 등의 준수,103,103,안전도 등의 준수
204,제204조,36,36,주용도 외의 사용 제한,103,103,주용도 외의 사용 제한
205,제205조,36,36,붐 등의 강하에 의한 위험 방지,104,104,붐 등의 강하에 의한 위험 방지
206,제206조,37,37,수리 등의 작업 시 조치,104,104,수리 등의 작업 시 조치
207,제207조,37,37,조립ㆍ해체 시 점검사항,104,104,조립·해체 시 점검사항
209,제209조,37,37,무너짐의 방지,105,105,무너짐의 방지
210,제210조,37,37,이음매가 있는 권상용 와이어로프의 사용 금지,105,105,이음매가 있는 권상용 와이어로프의 사용 금지
211,제211조,37,37,권상용 와이어로프의 안전계수,106,106,권상용 와이어로프의 안전계수
212,제212조,38,38,권상용 와이어로프의 길이 등,106,106,권상용 와이어로프의 길이 등
213,제213조,38,38,널말뚝 등과의 연결,107,107,널말뚝 등과의 연결
216,제216조,38,38,도르래의 부착 등,107,107,도르래의 부착 등
217,제217조,38,38,사용 시의 조치 등,108,108,사용 시의 조치 등
218,제218조,38,38,말뚝 등을 끌어올릴 경우의 조치,108,108,말뚝 등을 끌어올릴 경우의 조치
220,제220조,38,38,항타기 등의 이동,109,109,항타기 등의 이동
221,제221조,38,38,가스배관 등의 손상 방지,109,109,가스배관 등의 손상 방지
221-2,제221조의2,39,39,충돌위험 방지조치,109,109,충돌위험 방지조치
221-3,제221조의3,39,39,좌석안전띠의 착용,109,109,좌석안전띠의 착용
221-4,제221조의4,39,39,잠금장치의 체결,110,110,잠금장치의 체결
221-5,제221조의5,39,39,인양작업 시 조치,110,110,인양작업 시 조치
222,제222조,39,39,교시 등,111,111,교시 등
223,제223조,40,40,운전 중 위험 방지,112,112,운전 중 위험 방지
224,제224조,40,40,수리 등 작업 시의 조치 등,112,112,수리 등 작업 시의 조치 등
225,제225조,40,40,위험물질 등의 제조 등 작업 시의 조치,114,114,위험물질 등의 제조 등 작업 시의 조치
226,제226조,41,41,물과의 접촉 금지,115,115,물과의 접촉 금지
227,제227조,41,41,호스 등을 사용한 인화성 액체 등의 주입,,,
228,제228조,41,41,가솔린이 남아 있는 설비에 등유 등의 주입,115,115,가솔린이 남아 있는 설비에 등유 등의 주입
229,제229조,41,41,산화에틸렌 등의 취급,115,115,산화에틸렌 등의 취급
230,제230조,41,41,폭발위험이 있는 장소의 설정 및 관리,116,116,폭발위험이 있는 장소의 설정 및 관리
231,제231조,41,41,인화성 액체 등을 수시로 취급하는 장소,116,116,인화성 액체 등을 수시로 취급하는 장소
232,제232조,41,41,폭발 또는 화재 등의 예방,117,117,폭발 또는 화재 등의 예방
233,제233조,42,42,가스용접 등의 작업,117,117,가스용접 등의 작업
234,제234조,42,42,가스등의 용기,118,118,가스등의 용기
235,제235조,42,42,서로 다른 물질의 접촉에 의한 발화 등의 방지,119,119,서로 다른 물질의 접촉에 의한 발화 등의 방지
236,제236조,42,42,화재 위험이 있는 작업의 장소 등,119,119,화재 위험이 있는 작업의 장소 등
237,제237조,43,43,자연발화의 방지,119,119,자연발화의 방지
238,제238조,43,43,유류 등이 묻어 있는 걸레 등의 처리,120,120,유류 등이 묻어 있는 걸레 등의 처리
239,제239조,43,43,위험물 등이 있는 장소에서 화기 등의 사용 금지,120,120,위험물 등이 있는 장소에서 화기 등의 사용 금지
240,제240조,43,43,유류 등이 있는 배관이나 용기의 용접 등,120,120,유류 등이 있는 배관이나 용기의 용접 등
241,제241조,43,43,화재위험작업 시의 준수사항,120,120,화재위험작업 시의 준수사항
241-2,제241조의2,44,44,화재감시자,121,121,화재감시자
242,제242조,44,44,화기사용 금지,122,122,화기사용 금지
243,제243조,44,44,소화설비,122,122,소화설비
244,제244조,44,44,방화조치,122,122,방화조치
245,제245조,45,45,화기사용 장소의 화재 방지,122,122,화기사용 장소의 화재 방지
246,제246조,45,45,소각장,122,122,소각장
247,제247조,45,45,고열물 취급설비의 구조,123,123,고열물 취급설비의 구조
248,제248조,45,45,용융고열물 취급 피트의 수증기 폭발방지,123,123,용융고열물 취급 피트의 수증기 폭발방지
249,제249조,45,45,건축물의 구조,123,123,건축물의 구조
250,제250조,45,45,용융고열물의 취급작업,123,123,용융고열물의 취급작업
251,제251조,45,45,고열의 금속찌꺼기 물처리 등,124,124,고열의 금속찌꺼기 물처리 등
252,제252조,45,45,고열 금속찌꺼기 처리작업,124,124,고열 금속찌꺼기 처리작업
253,제253조,45,45,금속의 용해로에 금속부스러기를 넣는 작업,124,124,금속의 용해로에 금속부스러기를 넣는 작업
254,제254조,45,45,화상 등의 방지,124,124,화상 등의 방지
255,제255조,46,46,화학설비를 설치하는 건축물의 구조,125,125,화학설비를 설치하는 건축물의 구조
256,제256조,46,46,부식 방지,125,125,부식 방지
257,제257조,46,46,덮개 등의 접합부,125,125,덮개 등의 접합부
258,제258조,46,46,밸브 등의 개폐방향의 표시 등,125,125,밸브 등의 개폐방향의 표시 등
259,제259조,46,46,밸브 등의 재질,126,126,밸브 등의 재질
260,제260조,46,46,공급 원재료의 종류 등의 표시,126,126,공급 원재료의 종류 등의 표시
261,제261조,46,46,안전밸브 등의 설치,126,126,안전밸브 등의 설치
262,제262조,47,47,파열판의 설치,127,127,파열판의 설치
263,제263조,47,47,파열판 및 안전밸브의 직렬설치,128,128,파열판 및 안전밸브의 직렬설치
264,제264조,47,47,안전밸브등의 작동요건,128,128,안전밸브등의 작동요건
265,제265조,47,47,안전밸브등의 배출용량,128,128,안전밸브등의 배출용량
266,제266조,47,47,차단밸브의 설치 금지,128,128,차단밸브의 설치 금지
267,제267조,47,47,배출물질의 처리,129,129,배출물질의 처리
268,제268조,48,48,통기설비,130,130,통기설비
269,제269조,48,48,화염방지기의 설치 등,130,130,화염방지기의 설치 등
270,제270조,48,48,내화기준,130,130,내화기준
271,제271조,48,48,안전거리,131,131,안전거리
272,제272조,48,48,방유제 설치,131,131,방유제 설치
273,제273조,48,48,계측장치 등의 설치,131,131,계측장치 등의 설치
274,제274조,49,49,자동경보장치의 설치 등,132,132,자동경보장치의 설치 등
275,제275조,49,49,긴급차단장치의 설치 등,132,132,긴급차단장치의 설치 등
276,제276조,49,49,예비동력원 등,132,132,예비동력원 등
277,제277조,49,49,사용 전의 점검 등,132,132,사용 전의 점검 등
278,제278조,49,49,개조ㆍ수리 등,133,133,개조·수리 등
279,제279조,49,49,대피 등,133,133,대피 등
280,제280조,49,49,위험물 건조설비를 설치하는 건축물의 구조,134,134,위험물 건조설비를 설치하는 건축물의 구조
281,제281조,50,50,건조설비의 구조 등,134,134,건조설비의 구조 등
282,제282조,50,50,건조설비의 부속전기설비,136,136,건조설비의 부속전기설비
283,제283조,50,50,건조설비의 사용,136,136,건조설비의 사용
284,제284조,50,50,건조설비의 온도 측정,137,137,건조설비의 온도 측정
285,제285조,51,51,압력의 제한,137,137,압력의 제한
286,제286조,51,51,발생기실의 설치장소 등,137,137,발생기실의 설치장소 등
287,제287조,51,51,발생기실의 구조 등,138,138,발생기실의 구조 등
288,제288조,51,51,격납실,138,138,격납실
289,제289조,51,51,안전기의 설치,138,138,안전기의 설치
290,제290조,51,51,아세틸렌 용접장치의 관리 등,139,139,아세틸렌 용접장치의 관리 등
291,제291조,51,51,가스집합장치의 위험 방지,139,139,가스집합장치의 위험 방지
292,제292조,52,52,가스장치실의 구조 등,140,140,가스장치실의 구조 등
293,제293조,52,52,가스집합용접장치의 배관,140,140,가스집합용접장치의 배관
294,제294조,52,52,구리의 사용 제한,140,140,구리의 사용 제한
295,제295조,52,52,가스집합용접장치의 관리 등,141,141,가스집합용접장치의 관리 등
296,제296조,52,52,지하작업장 등,142,142,지하작업장 등
297,제297조,53,53,부식성 액체의 압송설비,142,142,부식성 액체의 압송설비
298,제298조,53,53,공기 외의 가스 사용 제한,143,143,공기 외의 가스 사용 제한
299,제299조,53,53,독성이 있는 물질의 누출 방지,143,143,독성이 있는 물질의 누출 방지
300,제300조,53,53,기밀시험시의 위험 방지,144,144,기밀시험시의 위험 방지
301,제301조,54,54,전기 기계ㆍ기구 등의 충전부 방호,146,146,전기 기계·기구 등의 충전부 방호
302,제302조,54,54,전기 기계ㆍ기구의 접지,147,147,전기 기계·기구의 접지
303,제303조,55,55,전기 기계ㆍ기구의 적정설치 등,148,148,전기 기계·기구의 적정설치 등
304,제304조,55,55,누전차단기에 의한 감전방지,149,149,누전차단기에 의한 감전방지
305,제305조,56,56,과전류 차단장치,150,150,과전류 차단장치
306,제306조,56,56,교류아크용접기 등,150,150,교류아크용접기 등
307,제307조,56,56,단로기 등의 개폐,150,150,단로기 등의 개폐
308,제308조,56,56,비상전원,151,151,비상전원
309,제309조,56,56,임시로 사용하는 전등 등의 위험 방지,151,151,임시로 사용하는 전등 등의 위험 방지
310,제310조,56,56,전기 기계ㆍ기구의 조작 시 등의 안전조치,151,151,전기 기계·기구의 조작 시 등의 안전조치
311,제311조,57,57,폭발위험장소에서 사용하는 전기 기계ㆍ기구의 선정 등,152,152,폭발위험장소에서 사용하는 전기 기계·기구의 선정 등
312,제312조,57,57,변전실 등의 위치,152,152,변전실 등의 위치
313,제313조,57,57,배선 등의 절연피복 등,152,152,배선 등의 절연피복 등
314,제314조,57,57,습윤한 장소의 이동전선 등,153,153,습윤한 장소의 이동전선 등
315,제315조,57,57,통로바닥에서의 전선 등 사용 금지,153,153,통로바닥에서의 전선 등 사용 금지
316,제316조,57,57,꽂음접속기의 설치ㆍ사용 시 준수사항,153,153,꽂음접속기의 설치·사용 시 준수사항
317,제317조,57,57,이동 및 휴대장비 등의 사용 전기 작업,153,153,이동 및 휴대장비 등의 사용 전기 작업
318,제318조,58,58,전기작업자의 제한,154,154,전기작업자의 제한
319,제319조,58,58,정전전로에서의 전기작업,154,154,정전전로에서의 전기작업
320,제320조,58,58,정전전로 인근에서의 전기작업,155,155,정전전로 인근에서의 전기작업
321,제321조,59,59,충전전로에서의 전기작업,155,155,충전전로에서의 전기작업
322,제322조,59,59,충전전로 인근에서의 차량ㆍ기계장치 작업,157,157,충전전로 인근에서의 차량·기계장치 작업
323,제323조,60,60,절연용 보호구 등의 사용,157,157,절연용 보호구 등의 사용
324,제324조,60,60,적용 제외,158,158,적용 제외
325,제325조,60,60,정전기로 인한 화재 폭발 등 방지,158,158,정전기로 인한 화재 폭발 등 방지
326,제326조,61,61,피뢰설비의 설치,159,159,피뢰설비의 설치
